[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_hinge.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_hinge.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/weed_leaf.json: default/weed/leaf
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/emerald_helmet.json: default/armors/emerald_helmet
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/amethyst_ore.json: default/amethyst_ore
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab_top.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab_top.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab_top.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_boots.json: default/armors/obsidian_boots
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/emerald_boots.json: default/armors/emerald_boots
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby_ore.json: default/ruby_ore
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/onyx_hammer.json: default/onyx_hammer
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_leggings.json: default/armors/obsidian_leggings
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_trapdoor_top.json: default/crystalmush/crystalmush_trapdoor_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/amethyst_hammer.json: default/amethyst_hammer
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_door.json: default/crystalmush/crystalmush_door_icon
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

